No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
114,ADIL,"Adial Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,77.56M,-,4.35,0.93%,158043
115,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,USA,33.21B,14.69,60.2,-0.05%,1156442
116,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,176.56M,-,1.33,-1.48%,445710
117,ADME,ETF Series Solutions - Aptus Drawdown Managed Equity ETF,Financial,Exchange Traded Fund,USA,-,-,41.52,-0.06%,49186
118,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Manufacturers - Specialty & Generic,USA,163.75M,-,1.11,-2.63%,3206643
119,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,227.19M,-,4.75,0.42%,93432
120,ADN,"Advent Technologies Holdings, Inc.",Utilities,Utilities - Renewable,USA,351.35M,-,8.04,2.03%,240202
121,ADNT,Adient plc,Consumer Cyclical,Auto Parts,Ireland,3.38B,32.23,37.52,-0.48%,366797
122,ADOC,Edoc Acquisition Corp.,Financial,Shell Companies,USA,118.84M,-,10.08,-0.40%,3
123,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services,USA,86.95B,34.17,207.38,0.41%,1112773
124,ADPT,Adaptive Biotechnologies Corporation,Healthcare,Biotechnology,USA,5.34B,-,39.51,0.69%,357902
125,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Financial,Exchange Traded Fund,USA,-,-,53.13,0.73%,4447
126,ADS,Alliance Data Systems Corporation,Financial,Credit Services,USA,4.57B,5.95,94.7,0.11%,451851
127,ADSK,"Autodesk, Inc.",Technology,Software - Application,USA,62.43B,49.44,288.75,0.45%,1816503
128,ADT,ADT Inc.,Industrials,Security & Protection Services,USA,7.07B,-,8.73,0.46%,1278022
129,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,964.62M,57.4,20.55,-0.82%,312596
130,ADTX,"Aditxt, Inc.",Healthcare,Biotechnology,USA,28.13M,-,1.77,-1.67%,1686458
131,ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1.42B,38,90.25,-2.08%,49899
132,ADV,Advantage Solutions Inc.,Communication Services,Advertising Agencies,USA,2.76B,-,8.86,0.45%,267263
133,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,220.05M,-,2.34,-7.51%,1342675
134,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,2.31B,3.2,20.85,0.39%,68749
135,ADXN,Addex Therapeutics Ltd,Healthcare,Biotechnology,Switzerland,53.97M,-,9.49,-2.77%,2672
136,ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,74.67M,-,0.5,8.71%,17510733
137,AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA,128.13M,8.02,30.8,1.05%,50173
138,AEAC,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA,221.49M,-,9.63,-0.82%,15000
139,AEACU,Authentic Equity Acquisition Corp.,Financial,Shell Companies,USA,-,-,9.99,0.30%,37
140,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,USA,22.55B,24.15,88.11,-0.98%,786762
141,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",Financial,Asset Management,United Kingdom,453.21M,8.7,8.93,1.13%,45214
142,AEG,Aegon N.V.,Financial,Insurance - Diversified,Netherlands,10.44B,8.31,4.92,-0.40%,1008068
143,AEHL,Antelope Enterprise Holdings Limited,Industrials,Building Products & Equipment,China,12.18M,-,2.92,-2.01%,422587
144,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,187.18M,-,8.39,11.42%,8216625
145,AEI,Alset EHome International Inc.,Real Estate,Real Estate - Development,USA,82.19M,-,2.1,-6.67%,9500369
146,AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,USA,3.29B,21.31,89.1,-0.90%,124601
147,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,2.98B,3.5,32.35,0.22%,430060
148,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,13.85B,19.08,58.87,2.15%,1209524
149,AEMD,"Aethlon Medical, Inc.",Healthcare,Medical Devices,USA,51.62M,-,3.69,-1.07%,139464
150,AENZ,Aenza S.A.A.,Industrials,Engineering & Construction,Peru,253.55M,-,1.55,-2.52%,32509
151,AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA,4.31B,37.57,26.9,-0.37%,8502760
